Helység megnevezése;Megye megnevezés
Bozzai;Vas
Bozsok;Vas
Bózsva;Borsod-Abaúj-Zemplén
Bõ;Vas
Bõcs;Borsod-Abaúj-Zemplén
Böde;Zala
Bödeháza;Zala
Bögöt;Vas
Bögöte;Vas
Böhönye;Somogy
Bököny;Szabolcs-Szatmár-Bereg
Bölcske;Tolna
Bõny;Gyõr-Moson-Sopron
Börcs;Gyõr-Moson-Sopron
Börzönce;Zala
Bõsárkány;Gyõr-Moson-Sopron
Bõszénfa;Somogy
Bucsa;Békés
Bucsu;Vas
Búcsúszentlászló;Zala
Bucsuta;Zala
Budajenõ;Pest
Budakalász;Pest
Budakeszi;Pest
Budaörs;Pest
Budapest;
Budapest 01. ker.;fõváros
Budapest 02. ker.;fõváros
Budapest 03. ker.;fõváros
Budapest 04. ker.;fõváros
Budapest 05. ker.;fõváros
Budapest 06. ker.;fõváros
Budapest 07. ker.;fõváros
Budapest 08. ker.;fõváros
Budapest 09. ker.;fõváros
Budapest 10. ker.;fõváros
Budapest 11. ker.;fõváros
Budapest 12. ker.;fõváros
Budapest 13. ker.;fõváros
Budapest 14. ker.;fõváros
Budapest 15. ker.;fõváros
Budapest 16. ker.;fõváros
Budapest 17. ker.;fõváros
Budapest 18. ker.;fõváros
Budapest 19. ker.;fõváros
Budapest 20. ker.;fõváros
Budapest 21. ker.;fõváros
Budapest 22. ker.;fõváros
Budapest 23. ker.;fõváros
Bugac;Bács-Kiskun
Bugacpusztaháza;Bács-Kiskun
Bugyi;Pest
Buj;Szabolcs-Szatmár-Bereg
Buják;Nógrád
Buzsák;Somogy
Bük;Vas
Bükkábrány;Borsod-Abaúj-Zemplén
Bükkaranyos;Borsod-Abaúj-Zemplén
Bükkmogyorósd;Borsod-Abaúj-Zemplén
Bükkösd;Baranya
Bükkszék;Heves
Bükkszenterzsébet;Heves
Bükkszentkereszt;Borsod-Abaúj-Zemplén
Bükkszentmárton;Heves
Bükkzsérc;Borsod-Abaúj-Zemplén
Bürüs;Baranya
Büssü;Somogy
Büttös;Borsod-Abaúj-Zemplén
Cák;Vas
Cakóháza;Gyõr-Moson-Sopron
Cece;Fejér
Cégénydányád;Szabolcs-Szatmár-Bereg
Cegléd;Pest
Ceglédbercel;Pest
Celldömölk;Vas
Cered;Nógrád
Chernelházadamonya;Vas
Cibakháza;Jász-Nagykun-Szolnok
Cigánd;Borsod-Abaúj-Zemplén
Cikó;Tolna
Cirák;Gyõr-Moson-Sopron
Cún;Baranya
Csabacsûd;Békés
Csabaszabadi;Békés
Csabdi;Fejér
Csabrendek;Veszprém
Csáfordjánosfa;Gyõr-Moson-Sopron
Csaholc;Szabolcs-Szatmár-Bereg
Csajág;Veszprém
Csákány;Somogy
Csákánydoroszló;Vas
Csákberény;Fejér
Csákvár;Fejér
Csanádalberti;Csongrád-Csanád
Csanádapáca;Békés
Csanádpalota;Csongrád-Csanád
Csánig;Vas
Csány;Heves
Csányoszró;Baranya
Csanytelek;Csongrád-Csanád
Csapi;Zala
Csapod;Gyõr-Moson-Sopron
Csárdaszállás;Békés
Csarnóta;Baranya
Csaroda;Szabolcs-Szatmár-Bereg
Császár;Komárom-Esztergom
Császártöltés;Bács-Kiskun
Császló;Szabolcs-Szatmár-Bereg
Csátalja;Bács-Kiskun
Csatár;Zala
Csataszög;Jász-Nagykun-Szolnok
Csatka;Komárom-Esztergom
Csávoly;Bács-Kiskun
Csebény;Baranya
Csécse;Nógrád
Csegöld;Szabolcs-Szatmár-Bereg
Csehbánya;Veszprém
Csehi;Vas
Csehimindszent;Vas
Csém;Komárom-Esztergom
Csemõ;Pest
Csempeszkopács;Vas
Csengele;Csongrád-Csanád
Csenger;Szabolcs-Szatmár-Bereg
Csengersima;Szabolcs-Szatmár-Bereg
Csengerújfalu;Szabolcs-Szatmár-Bereg
Csengõd;Bács-Kiskun
Csénye;Vas
Csenyéte;Borsod-Abaúj-Zemplén
Csép;Komárom-Esztergom
Csépa;Jász-Nagykun-Szolnok
Csepreg;Vas
Csér;Gyõr-Moson-Sopron
Cserdi;Baranya
Cserénfa;Somogy
Cserépfalu;Borsod-Abaúj-Zemplén
Cserépváralja;Borsod-Abaúj-Zemplén
Cserháthaláp;Nógrád
Cserhátsurány;Nógrád
Cserhátszentiván;Nógrád
Cserkeszõlõ;Jász-Nagykun-Szolnok
Cserkút;Baranya
Csernely;Borsod-Abaúj-Zemplén
Cserszegtomaj;Zala
Csertalakos;Zala
Csertõ;Baranya
Csesznek;Veszprém
Csesztreg;Zala
Csesztve;Nógrád
Csetény;Veszprém
Csévharaszt;Pest
Csibrák;Tolna
Csikéria;Bács-Kiskun
Csikóstõttõs;Tolna
Csikvánd;Gyõr-Moson-Sopron
Csincse;Borsod-Abaúj-Zemplén
Csipkerek;Vas
Csitár;Nógrád
Csobád;Borsod-Abaúj-Zemplén
Csobaj;Borsod-Abaúj-Zemplén
Csobánka;Pest
Csókakõ;Fejér
Csokonyavisonta;Somogy
Csokvaomány;Borsod-Abaúj-Zemplén
Csolnok;Komárom-Esztergom
Csólyospálos;Bács-Kiskun
Csoma;Somogy
Csomád;Pest
Csombárd;Somogy
Csongrád;Csongrád-Csanád
Csonkahegyhát;Zala
Csonkamindszent;Baranya
Csopak;Veszprém
Csór;Fejér
Csorna;Gyõr-Moson-Sopron
Csorvás;Békés
Csót;Veszprém
Csöde;Zala
Csögle;Veszprém
Csökmõ;Hajdú-Bihar
Csököly;Somogy
Csömend;Somogy
Csömödér;Zala
Csömör;Pest
Csönge;Vas
Csörnyeföld;Zala
Csörög;Pest
Csörötnek;Vas
Csõsz;Fejér
Csõvár;Pest
Csurgó;Somogy
Csurgónagymarton;Somogy
Dabas;Pest
Dabronc;Veszprém
Dabrony;Veszprém
Dad;Komárom-Esztergom
